,Location,Operator,Route,Type,Aboard,Fatalities,Ground,Year,Month,Day
,"Moose Jaw, SK, Canada",Trans Canada Air Lines / RCAF,,Canadair C-4-1Argonaut / Harvard Mark II,36,36,1,1954,04,08
,"Santiago, Chile",LAN,,Douglas DC-3,16,16,0,1954,04,13
,"Xieng Kouang, Laos",Societe Indochinoise de Raviteillement,,Lockheed 18 Lodestar,23,16,0,1954,04,13
,"Sierra del Vilgo, Argentina",Aerolineas Argentinas,Mendoza - Cordoba,Douglas DC-3,25,25,0,1954,04,23
,"Near Calcutta, India",Darbhanga Aviation,,Douglas C-47A-30-DK,11,5,0,1954,04,30
,"Paraparaumu, New Zealand",New Zealand National Airways,Churchchrist - Paraparaumu,Douglas DC-3,28,3,0,1954,05,22
,"Cipo Mountain, Brazil",Transportes Aereos Nacionales,Governador Valadares - Belo Horizonte,Douglas DC-3,19,19,0,1954,05,31
,"Near Maribor, Slovenia",Sabena,"Blackbushe, UK - Beogard, Serbia",Douglas C-47A,4,1,0,1954,06,03
,"Sao Paulo, Brazil",Varig,Sao Paulo - Porto Alegre,Curtiss C-46A,3,3,0,1954,06,04
,"Tourane, Vietnam",Soc. de Tr. Aériens d'Extrême Orient,,Douglas C-47-DL,4,4,0,1954,06,08
,"Off Folkestone, England",Swissair,Geneva - London,Convair CV-240-4,9,3,0,1954,06,19
,"Near Salvador, Brazil",Military - Brazilian Air Force,,Lockheed C-28,20,20,0,1954,07,02
,"Off Hainan Island, China",Cathay PacifiAirways,Singapore - Hong Kong - Bangkok,Douglas DC-4,18,10,0,1954,07,23
,"Near McGrath, Alaska",Alaska Airlines,McGrath - Colorado Creek,Douglas DC-2,2,2,0,1954,08,08
,"Terceira Island, Azores, Portugal",AVIANCA,"Lajes, Azores - Bermuda",Lockheed 749A-79 Constellation,30,30,0,1954,08,09
,Vietnam,Autrex,Saigan - Hanoi,Douglas DC-3,3,3,0,1954,08,12
,"Near Pakse, Laos",Air Vietnam (South Vietnam),Red River delta - Saigon,Bristol 170 Freighter 21E,55,47,0,1954,08,16
,"Near Mason City, Iowa",Braniff Airlines,Memphis - Minneapolis,Douglas DC-3,19,12,0,1954,08,22
,"Near Dutch Coast, North Sea",KLM Royal Dutch Airlines,Shannon - Amsterdam,Douglas DC-6B,21,21,0,1954,08,23
,"Chatenoy, France",British European Airways,,Douglas C-47A,3,3,0,1958,05,16
,"Near Rapid City, South Dekota",Military - U.S. Air Force,,Convair RB-36H,27,26,0,1954,08,27
,"Foynes, Ireland",KLM Royal Dutch Airlines,Shannon - New York City,Lockheed 1049C-55-81 S Constellation,56,28,0,1954,09,05
,"Off Rio de Janeiro, Brazil",Cruzeiro,,Douglas DC-3,30,6,0,1954,09,12
,"Cairo, Egypt",Misrair,Test,Vickers 634 Viking,4,3,0,1954,09,15
,"Nar Limone Piemonte, Italy",Military - U.S. Air Force,,Douglas C-47A-DL,21,21,0,1954,10,24
,"Off Ocean City, Maryland",Military - U.S. Navy,"Patuxent River NAS - Kenitra, Morocco",Lockheed R7V-1,42,42,0,1954,10,30
,Off the coast of Maryland,Military - U. S. Navy,"New Jersey - Azores - Port Lyautey, Moroco",Lockheed R-7V1,42,42,0,1954,10,30
,"Mangalore, Australia",TAA,Training,Vickers 720 Viscount,8,3,0,1954,10,31
,"Jirishanga,Cerro de Pasco, Peru",TAM (Brazil),Pucallpa - Lima,Douglas DC-3,24,24,0,1954,11,16
,"Berlin, New Hampshire",Northeast Airlines,"Laconia, NH - Berlin, NH",Douglas DC-3,7,2,0,1954,11,30
,"Near Luang Pragang, Laos",Air Laos,Luang Prabang - Nam Tha,Douglas DC-3,28,28,0,1954,12,04
,"Bratislava, Slovakia",Ceskoslovenské Aerolinie,,Douglas C-47A,4,4,0,1954,12,12
,"Near Bolivar, Venezuela",Linea Aeropostal Venezolana,,Douglas C-47A,2,2,0,1954,12,18
,"New York, New York",Linee Aeree Italiane,Rome - New York City,Douglas DC-6B,32,26,0,1954,12,18
,"Pittsburgh, Pennsylvania",Johnson Flying Service,Newark - Tacoma,Douglas DC-3,28,10,0,1954,12,22
,"Prestwick, Ayrshire, Scotland",British Overseas Airways,London - Glasgow,Boeing B377-10-28 Stratocruiser,36,28,0,1954,12,25
,"Near Moscow, Russia",Aeroflot,,,45,45,0,1954,12,29
,"Irkutsk, Russia",Aeroflot,Peking -  Irkutsk - Cyprus,Ilyushin 14,17,17,0,1954,12,31
,"Off Skellings, Ireland",Military -Royal Air Force,,Avro Shackleton M-2 / Avro Shakleton M-2,18,18,0,1955,01,11
,"Greater Cincinnati Airport, Covington, Kentucky",Trans World Airlines / Castleton Inc.,Cincinnati - Cleveland,Martin 202A / DC-3,15,15,0,1955,01,12
,"Des Moines, Iowa",United Air Lines,Newark - Des Moines - Lincoln,Convair CV-340,39,0,0,1955,01,19
,"Lapadrera, Colombia",Interamericana de Aviacion,,Consolidated PBY-5 Catalina,5,5,0,1955,01,31
,"Nagpur, India",Indian Airlines,Nagpur - Delhi,Douglas DC-3,10,10,0,1955,02,02
,"Near Calabar, Nigeria",West African Airways,Enugu - Calabar,Bristol 170 Freighter 21E,13,13,0,1955,02,05
,"Rome, Italy",Sabena,Brussels - Rome,Douglas DC-6,29,29,0,1955,02,13
,"Albuquerque, New Mexico",Trans World Airlines,Albuquerque - Sante Fe,Martin 404,16,16,0,1955,02,19
,"Salisbury,  Zimbabwe",Central African Airways,Salisbury - Lusaka,Douglas DC-3,26,1,0,1955,02,23
,"Vitoria da Conquista, Brazil",REAL,,Douglas DC-3,21,5,0,1955,03,06
,"Mascota, Mexico",Mexicana,Puerto Vallarta - Guadalajara,Douglas DC-3,26,26,0,1955,03,08
,"Trujillo, Colombia",AVIANCA,Condoto - Cali,Douglas C-47A,8,8,0,1955,03,09
,"Springfield, Mississippi",American Airlines,Newark - Chicago - St. Louis - Springfield - Tulsa,Convair CV-240-0,35,13,0,1955,03,20
,"Oahu, Hawaii",Military - U.S. Navy,,Douglas R6D-1 (C-118B),66,66,0,1955,03,22
,Off the Oregon coast,Pan American World Airways,Portland - Honolulu,Boeing 377 Stratocruiser 10-26,23,4,0,1955,03,26
,"Off Pensacola, Florida",Aaxico Airlines,"Mobile, AL - Macon, GA",Curtiss C-46A,2,2,0,1955,04,02
,"Islip, New York",United Air Lines,Training,Douglas DC-6,3,3,0,1955,04,04
,"Off Great Natuna Island, Sarawak",Air India,Hong Kong - Jakarta,Lockheed 749A Constellation,19,19,0,1955,04,11
,"Kupe Mountains, Cameroons",Union des Transportes Aeriens,Yaounde - Douala,de Havilland DH-114 Heron 1B,14,12,0,1955,04,18
,"Mt. Kilimanjaro, Kenya",East African Airways,Dar-es-Salaam - Nairobi,Douglas DC-3,20,20,0,1955,05,18
,"Off Barcelona, Venezuela",Linea Aeropostal Venezolana,,Douglas C-47-DL,13,4,0,1955,05,21
,"Edmonton, Alberta, Canada",Associated Airways,,Avro 685 York C-1,2,2,0,1955,05,26
,"Fort Lamy, Cameroon",Union Aéromaritime de Transport,Douala - Fort Lamy,Douglas C-54A,3,3,0,1955,06,03
,"Near Asuncion, Paraguay",Panair do Brasil,Sao Paulo - Asuncion,Lockheed 049-46-21 Constellation,24,16,0,1955,06,16
,"Leon, Mexico",Tigres Voladores,,Curtiss C-46,18,18,0,1955,06,18
,"Oaxaca, Mexico",Lineas Areas Unidas,Acapulco - Oaxaca,Douglas DC-2-243,22,22,0,1955,07,14
,"Chicago, Illinois",Braniff Airlines,"Kansas City, MO - Chicago",Convair CV-340-32,43,22,0,1955,07,17
,"Near Petrich, Bulgaria",El Al,Wien - Tel Aviv,Lockheed 049 Constellation,58,58,0,1955,07,27
,"Fort Leonard Wood, Missouri",American Airlines,"Springfield, IL - St. Louis, MO",Convair CV-240-0,30,30,0,1955,08,04
,"Near Voronezh, Russia",Aeroflot,Starllingrad - Moscow.,,25,25,0,1955,08,06
,"Near Edelweiler, West Germany",Military - U.S. Air Force / Military - U.S. Air Force,,Fairchild C119G / Fairchild C119G,66,66,0,1955,08,11
,"Caparao Mountain, Brazil",Cruzeiro,Rio de Janeiro - Caravelas,Douglas DC-3,13,13,0,1955,08,26
,"Simra, Nepal",Kalinga Airlines,,Douglas C-47A,3,2,0,1955,08,30
,"Meikitila, Myanmar",Union of Burma Airways,Meiktila - Lanywa,Douglas DC-3,9,9,0,1955,09,02
,"Burbank, California",Currey Air Transport,Burbank - Oakland,Douglas DC-3,33,3,0,1955,09,08
,"Sombolabo, French Equitorial Africa",Societe France Hydro,LaLérè - Douala,Latecoere 631,16,16,0,1955,09,10
,"Near Thorhild, Canada",PacifiWestern Airlines,"Edmonton, AB - Yellowknife, NT",Bristol 170 Freighter 31,6,2,0,1955,09,17
,"Idris, Libya",British Overseas Airways,Rome - Tripoli,Canadair C-4,47,15,0,1955,09,21
,PacifiOcean,Flying Tiger Line,Wake Island - Honolulu,Douglas C-54A,5,3,0,1955,09,24
,"Pico Oiriruma-Vinac, Peru",Faucett,Lima - Cuzco,Douglas C54A,35,19,0,1955,10,02
,"Near Centennial, Wyoming",United Air Lines,Denver - Salt Lake City - San Francisco,Douglas DC-4,66,66,0,1955,10,06
,"Near Wien, Austria",JAT Yugoslav Airlines,Beograd - Wien,Convair CV-340-58,29,7,0,1955,10,10
,"Longmont, Colorado",United Air Lines,Denver - Portland,Douglas DC-6B,44,44,0,1955,11,01
,"Seattle, Washingon",Peninsular,Seattle - Newark,Douglas C-54,74,28,0,1955,11,17
,"Near Las Vegas, Nevada",Military - U.S. Air Force,,Douglas MC-54M,14,14,0,1955,11,17
,"Iwo Jima, Japan",Military - US Air Force,,Douglas C124-DL Globemaster II,11,10,0,1955,11,20
,"Near Ballico, California",Military - U.S. Air Force,,Boeing RB-52B,10,10,0,1955,11,30
,"Belem, Brazil",Cruzeiro,,Douglas DC-3,6,6,0,1955,12,01
,"Hollywood, South Carolina",Riddle Airlines,,Curtiss C-46A,2,2,0,1955,12,17
,"Sao Paulo, Brazil",Cruzeiro Do Sud,Sao Paulo - Belem,Douglas DC-3,26,26,0,1955,12,19
,"Jacksonville, Florida",Eastern Air Lines,Miami - Jacksonville,Lockheed 749C-79-12 Constellation,17,17,0,1955,12,21
,"Frederick Henry Bay,  Australia",Ansett ANA,,Douglas C-47,2,1,0,1956,01,12
,"Oreway, Canada",Quebecair,Knob Lake - Oreway,Douglas DC-3,18,4,0,1956,01,17
,"Torysa, Czechoslovakia",Ceskoslovenske Aerolinie,Bratislava - Kosice,Douglas DC-3,26,22,0,1956,01,18
,"Lyon, France",Air France,,Douglas C-47,3,3,0,1956,01,28
,"Frobisher Bay, Canada",Maritime Central Airways,,Bristol 170 Freighter 31,2,2,0,1956,02,13
,"Near Fort Chimo, Quebec, Canada",Spartan Air Services,,Douglas C-47-DL,3,2,0,1956,02,14
,"Near Niles, California",Military - U.S. Marine Corps,El Toro MAS - Alameda NAS,Douglas R5D2,40,40,0,1956,02,17
,"Near Zurrieg, Malta",Scottish Airlines,Malta - London,Avro 685 York C-1,50,50,0,1956,02,18
,"Near Cairo, Egypt",Transport Aerien Intercontinentaux (France),Saigon - Paris,Douglas DC-6B,64,52,0,1956,02,20
,"Near Aleppo, Syria",Syrian Airways,,Douglas DC-3,19,19,0,1956,02,24
,"Jalkot, Pakistan",Pakistan International Airlines,Gilgit  - Islamabad,Douglas C-47B,3,3,0,1956,02,25
,"Tezpur, India",Indian Airlines,,Douglas DC-3,21,2,0,1956,03,21
,"Largs, England",Starways,Liverpool - Glasgow,Douglas C-47B,3,1,0,1956,03,28
,"Indapur, India",National Air Operators,Asansol - Bagdogra,Douglas C-47A,3,3,0,1956,03,31
,"Korat ,Thailand",Military - Royal Thai Air Force,,Douglas C-47A,18,18,0,1956,03,31
,"Pittsburgh, Pennsylvania",Trans World Airlines,Pittsburgh - Newark,Martin 404,36,22,0,1956,04,01
,"Seattle, Washington",Northwest Orient Airlines,Seattle - Portland,Boeing 377 Stratocruiser 10-30,38,5,0,1956,04,02
,"Skilak Lake, Alaska",Cordova Airlines,Anchorage - Seward,Aero Commander  520,6,6,0,1956,04,09
,"Parintins, Brazil",Panair do Brasil,Belem - Parintins,Consolidated PBY-5A Catalina,12,3,0,1956,04,18
,"London, England",Scottish Airlines,London - Malta,Avro 685 York C-1,54,2,0,1956,04,30
,"Kathmandu, Nepal",Indian Airlines,,Douglas DC-3,33,14,1,1956,05,15
,"Orleans, Ontario, Canada",Military - Royal Canadian Air Force,,CF-100 Mark V,2,2,13,1956,05,15
,"Guatemala City, Guatemala",Aviateca,Kano - Tripoli,Douglas DC-3,31,30,0,1956,05,24
,"Asbury Park, New Jersey",Linea Aeropostal Venezolana,New York City - Caracas,Lockheed 1049E-55 Super Constellation,74,74,0,1956,06,20
,"Kano, Nigeria",British Overseas Airways,Kano - Tripoli,Canadair C-4 Argonaut,45,32,0,1956,06,24
,"Grand Canyon, Arizona",United Air Lines / Trans World Airlines,Los Angeles - Chicago / Los Angeles - Kansas City,Douglas DC-7 / Lockheed S Constellation,128,128,0,1956,06,30
,"Near Flat Rock, Michigan",Trans Canada Air Lines,Chicago - Montreal,Vickers Viscount,35,1,0,1956,07,09
,"Near Brows Mills, New Jersey",Military - U.S. Air Force,McGuire AFB - Harmon AFB,Douglas C-118A,66,46,0,1956,07,13
,"Rio Cuarto, Argentina",Aerolineas Argentinas,Buenos Aires - Rio Cuarto,Douglas DC-3,18,18,0,1956,07,16
,"Thazi, Burma",Union of Burma Airways,Rangoon - Mandalay,Douglas DC-3,20,12,0,1956,08,08
,"Cold Bay, Alaska",Canadian PacifiAir Lines,Vancouver - Hong Kong,Douglas DC-6B,22,15,0,1956,08,29
,"Amman, Jordan",Jordan International Airlines,,Curtiss C-46A-45-CU,57,1,0,1956,09,09
,"Bartlesville, Oklahoma",Continental Airlines,,Douglas DC-3 / Cessna 170B,18,0,0,1956,09,09
,"Near Nome, Alaska",Alaska Airlines,Unalakleet and Nome,Stinson AT-19,5,5,0,1956,10,02
,"Off Land's End, England",Military - U.S. Navy,RAF Lakenheath - McGuire AFB,Douglas C188-B,59,59,0,1956,10,10
,Over the PacifiOcean,Pan American World Airways,Honolulu - San Francisco,Boeing  377 Stratocruiser,31,0,0,1956,10,16
,"Agartala, India",Indian Airlines,,Douglas DC-3,3,3,0,1956,10,19
,Over the Mediterranean Sea,Military - Egyptian Air Force,Cairo - Dismascus,Curtiss C-46,23,23,0,1956,10,28
,"Blackbushe, England",Britavia,Tripoli - Blackbushe,Handley Page HP-1 Hermes,80,5,0,1956,11,05
,"Hommelfjell, Norway",Braathens,Trondheim - Oslo,de Havilland DH-114 Heron 2B,12,2,0,1956,11,07
,"Puerto Somoza, Nicaragua",Aerovias Guest,Tocumen - Guatemala City,Douglas C-54A-10-DC,25,25,0,1956,11,15
,"Porto Alegre, Brazil",Varig,,Douglas C-47A,2,2,0,1957,10,18
,"El Rucio Mountain, Colombia",Empresa Aviacion del Pacifico,Buenaventura - Cali,Douglas DC-3,36,36,0,1956,11,17
,"Near Eglisau, Switzerland",Ceskoslovenske Aerolinie,Eglisau - Prague,Ilyushin IL-12B,23,23,0,1956,11,24
,"Paris, France",Linee Aeree Italiane,Rome - Paris -  Shannon - New York City,Douglas DC-6B,35,34,8,1956,11,24
,"Caracas, Venezuela",Linea Aeropostal Venezolana,New York City - Maiquetia,Lockheed 749-79-34 Constellation,25,25,0,1956,11,27
,"Caqueta, Colombia",AIDA,Bogota - Medellin - Quibdo,Consolidated PBY-5A Catalina,16,14,0,1956,12,08
,"Near Chilliwack, British Columbia, Canada",Trans Canada Air Lines,Vancouver - Toronto,Canadair DC-4M-2 Northstar,62,62,0,1956,12,09
,"Dannemois, France",Air France,Training,Vickers 708 Viscount,5,5,0,1956,12,12
,"Grub, Germany",JAT Yugoslav Airlines,Wien - Munchen,Convair CV-340-58,30,3,0,1956,12,22
,"Mt. Giner, Italy",Linee Aeree Italiane,Rome - Milan,Douglas DC-3,21,21,0,1956,12,22
,"Dhahran, Saudi Arabia",Military - U.S. Air Force,,Lockheed C-121C Super Constellation,37,11,0,1956,12,30
,"Owasso, Oklahoma",American Airlines,Joplin - Owasso,Convair CV-240-0,10,1,0,1957,01,06
,"Near Buenos Aires, Argentina",Fuerza Aérea Argentina,Buenos Aires - Mar Del Plata - Mendoza,Vickers 615 Viking 1B,33,17,1,1957,01,11
,"Ometepe Island, Nicaragua",Lanica,San Carlos - Managua,Douglas DC-3,16,16,0,1957,01,23
,"Paris, France",Air France,Tunis - Paris,SNCASE SE.2010 Armagnac,70,2,0,1957,01,29
,"Near Sunland, California",Douglas Aircraft,Santa Monica - Santa Monica,Douglas DC-7B / U.S. Air Force F-89J,6,5,3,1957,01,31
,"New York, New York",Northeast Airlines,New York City - Miami,Douglas DC-6A,101,21,0,1957,02,01
,"Kimpo Air Base, South Korea",Military - U.S. Air Force,"Kimpo AB - Tokyo, Japan",Douglas C-124C,159,22,0,1957,02,22
,"Blyn, Washington",Alaska Airlines,Fairbanks - Seattle,Douglas C-54B,5,5,0,1957,03,02
,"Drayton, England",Military -Royal Air Force,,Blackburn Beverley C Mark 1,22,18,2,1957,03,05
,"El Soldado, Colombia",AVIANCA,Condoto - Cali,Douglas DC-3,15,15,0,1957,03,09
,"Manchester, England",British European Airways,Amsterdam - Manchester,Vickers Viscount 701,20,20,2,1957,03,14
,"Near Cebu, Philippines",Military - Philippine Air Force,Cebu - Manila,Douglas C-47 Skytrain,25,24,0,1957,03,17
,"Near Sayari, Bolivia",Lloyd Aereo Boliviano,Cochabamba - Oruro,Douglas DC-3,19,19,0,1957,03,18
,Over the North PacifiOcean,Military - U.S. Air Force,Travis AFB - Tokyo,Boeing C-97C,67,67,0,1957,03,22
,"Bage, Brazil",Varig,,Curtiss C-46A-45-CU,40,40,0,1957,04,07
,"Algiers, Algeria",Air France,,Douglas DC-3,34,34,0,1957,04,08
,"Anchieta Island, Brazil",REAL,Rio de Janerio - Sao Paulo,Douglas DC-3,30,26,0,1957,04,10
,"Merida, Mexico",Transportes Aéreos Mexicanos,,Consolidated B-24J,3,3,1,1957,04,15
,"Near El Quweira, Jordan",Military -Royal Air Force,,Vickers Valetta C-Mk.1,24,24,0,1957,04,17
,"Jirkouk, Iraq",Air France,"Tehran, Iran - Istanbul, Turkey",Lockheed Super Constellation,,1,0,1957,04,20
,"Blackbushe, Hants, England",Eagle Aviation,Blackbushe - Tripoli,Vickers Viking 1B,35,34,0,1957,05,01
,"Santoshpur, India",Indian Airlines,,Douglas C-47A,3,1,0,1957,05,05
,"Barajas, Madrid, Spain",Aviaco,Santiago de Compostella - Madrid,Bristol 170 Freighter,37,37,0,1957,05,09
,"Near San Carlos de Bariloche, Argentina",Lineas Aereas del Estado,,Vickers 615 Viking 1B,16,16,0,1957,05,13
,"Narsarressuak, Greenland",U.S. Overseas Airways,,Douglas DC-4,3,2,0,1957,05,13
,"New Delhi, India",Indian Airlines,,Douglas DC-3,2,2,3,1957,05,13
,"Near Moscow, Russia",LOT Polish Airlines,Warsaw - Moscow,Ilyushin P-14,13,9,0,1957,06,14
,"Bodensee, Switzerland",Swissair,Training,Douglas C-47B,9,9,0,1957,06,18
,"Near Clarksburg, Maryland",Capital Airlines,Training,Douglas C-47A,3,3,0,1957,06,22
,"Port Hardy, BC, Canada",Queen Charlotte Airlines,Port Hardy - Vancouver,Douglas DC-3,18,14,0,1957,06,23
,"Bay of Bengal, Pakistan",Pakistan International Airlines,,Douglas DC-3,24,24,0,1957,07,01
,"Near Biak, Indonesia",KLM Royal Dutch Airlines,Mokmer - Manila,Lockheed 1049C Super Constellation,68,58,0,1957,07,16
,"Daggett, California",Western Airlines,Minneapolis -- Salt Lake - Cedar City - Las Vegas- LA,Convair CV-240,16,1,0,1957,07,25
,"Near Issoudun, Quebec, Canada",Maritime Central Airways,Reykjavík - Montreal,Douglas DC-4,79,79,0,1957,08,11
,"Copenhagen, Denmark",Aeroflot,Riga - Copenhagen,Ilyushin IL-14P,23,23,0,1957,08,15
,"Assam, India",Indamer,,Douglas DC-3,8,8,0,1957,08,20
,"Near Juticalpa, Honduras",Sahsa Airlines,,Douglas DC-3,12,12,0,1957,08,29
,"Niquitao, Venezuela",Avensa,Maiquetia - Barinas,Douglas DC-3,8,8,0,1957,09,03
,"New Bedford, Massachusett",Northeast Airlines,Martha's Vineyard - New Bedford,Douglas DC-3,24,12,0,1957,09,15
,"Montevideo,  Uruguay",REAL,San Pablo - Porto Alegre - Montevideo,Convair CV-440-62,35,1,0,1957,09,18
,,British European Airways,,de Havilland DH-114 Heron,3,3,0,1957,09,28
,"Beirut, Lebanon",Lebanese International Airways,Beirut - Kuwait City,Curtiss C-46A-45-CU,27,27,0,1957,10,03
,"Belfast, Ireland",British European Airways,London - Belfast,Vickers 802 Viscount,7,7,0,1957,10,23
,"Madrid, Spain",Iberia Airlines,Tanger - Madrid,Douglas DC-3,21,21,0,1957,10,28
,"Near Campeche, Mexico",Transportes Aereos Mexicanos,,Fairchild C-82A,3,3,0,1957,10,30
,"Bristol, England",Bristol Aeroplane Co.,,Bristol Britannia 175,15,15,0,1957,11,06
,"900 miles E of Honolulu, Hawaii, PacifiOcean",Pan American World Airways,San Fransisco - Honolulu,Boeing - 377-10-29 Stratocruiser,44,44,0,1957,11,09
,"Near Palma de Mallorca, Spain",Aviaco,Barcelona - Palma de Mallorca,de Havilland DH-114 Heron 2D,4,4,0,1957,11,15
,"Chessell Down Hants, England",Aquilla Airways,Southhampton - Lisbona,Short Solent 3 (flying boat),58,43,0,1957,11,15
,"Christchurch, New Zealand",Straits Air Freight Express,Paraparaumu - Timaru,Bristol 170 Freighter 31,4,4,0,1957,11,21
,"Bolivar, Argentina",Aerolineas Argentinas,Buenos Aires - San Carlos,Douglas DC-4,61,61,0,1957,12,08
,"Jeannine Lake, Quebec, Canada",Northern Wings,,Douglas C-47A,3,3,0,1957,12,10
,"Ozamis City, Philippines",Philippine Air Lines,Ozamis City - Pagadian,de Havilland Canada DHC-3 Otter,12,2,0,1957,12,11
,"Stansted, England",Scottish Airlines,Malta - London,Avro 685 York C-1,4,4,0,1957,12,23
,"Off Oahu, Hawaii",Military - U.S. Navy,,Lockheed WV-2,23,19,0,1957,12,23
,"Buenos Aires, Argentina",Aerolineas Argentinas,Buenos Aires - Rosario - Corrientes,Short Sunderland,51,9,0,1957,12,31
,"Belem, Brazil",Cruzeiro,,Fairchild C-82A,3,3,0,1958,01,16
,"Near La Paz, Bolivia",TAM (Bolivia),Tipuani - La Paz,Douglas DC-3,11,11,0,1958,01,20
,"Rio de Janeiro, Brazil",Loide Aéreo Nacional,Rio de Janerio - Fortaleza,Douglas DC-4,67,5,0,1958,02,01
,"New Delhi, India",Pakistan International Airlines,Dehli - Karachi,Convair CV-240-7,38,21,2,1958,05,15
,"Norwalk, California",Military - U.S.  Air Force / Military - U.S. Navy,Long Beach - McGuire AFB,Douglas C-118A / Lockheed P2V-5F,49,47,1,1958,02,01
,"Munich, Germany",British European Airways,Munich - Manchester,Airspeed Ambassador A5-57,44,23,0,1958,02,06
,"Motu Taoru, France",Réseau Aérien Interinsulaire,,Consolidated PBY-5A  Catalina,15,15,0,1958,02,19
,"Off Corvo Island, Azores",Military - U.S. Navy,,Lockheed WV-2,22,22,0,1958,02,20
,"Horwich, Lancs, England",Silver City Airways,Isle of Man - Manchester,Bristol 170 Freighter 21,42,35,0,1958,02,27
,"Off Ryukyu Islands, Okinawa",Military - U.S. Marine Corps/Military - U.S. Marine Corps,,Fairchild R4Q / Dougas AD-6 skyraider,26,26,0,1958,03,07
,"Menzalah Lake, Egypt",Misrair,Athens - Cairo,Vickers 628 Viking 1B,26,8,0,1958,03,07
,"Grants, New Mexico",Private,,Lockheed 18 Lodestar,4,4,0,1958,03,22
,"Near Kathmandu, Nepal",Indian Airlines,Simra - Kathmandu,Douglas DC-3,20,20,0,1958,03,24
,"Miami, Florida",Braniff Airlines,,Douglas DC-7-C,24,9,0,1958,03,25
,"Bridgeport, Texas",Military - U.S. Air Force/Military - U.S. Air Force,,Douglas C-124C / Fairchild C-119C,18,18,0,1958,03,27
,"Quito, Ecuador",Transportes Aereos Orientales,Quito - Esmeraldas,Junkers JU-52/3m,14,3,0,1958,04,02
,"Freeland, Michigan",Capital Airlines,New York - Detroit - Saginaw - Chicago,Vickers Viscount 745D,47,47,0,1958,04,06
,"Mt. Illiniza, Ecuador",AREA,Guayaquil - Quito,Douglas DC-3,32,32,0,1958,04,07
,"Off Castell de Fels, Spain",Aviaco,Zaragoza - Barcelona,de Havilland DH-114 Heron 2D,16,16,0,1958,04,14
,"Near Sloan, 10 miles SW of Las Vegas, Nevada",United Air Lines / Military - U.S. Air Force,Los Angeles - New York City,Douglas DC-7 / F-100F,49,49,0,1958,04,21
,"Near Casablanca, Morocco",Sabena,Lisbon - Leopoldville,Douglas DC-7C,65,61,0,1958,05,18
,"Brunswick, Maryland",Capital Airlines / Military - Air National Guard,Pittsburgh - Baltimore,Vickers Viscount 745D / T-33A,11,11,0,1958,05,20
,"Gurgaon, India",Dan-Air Services,,Avro 685 York C-1,5,4,0,1958,05,25
,"SW of Algiers, Algeria",Air France,Algier - Colomb-Bechar - Tindouf,Douglas DC-3,15,15,0,1958,05,31
,"Rio de Janeiro, Brazil",Paraense Transportes Aéreos,,Curtiss C-46D,4,4,0,1958,05,31
,"Manila, Philippines",Pan American World Airways,San Francisco - Singapore,Boeing 377 Stratocruiser 10-26,57,1,0,1958,06,02
,"Near Guadalajara, Mexico",Aeronaves de Mexico,Guadalajara - Mexico City,Lockheed 749A Constellation,45,45,0,1958,06,02
,"Martinsburg, West Virginia",Capital Airlines,Training,Douglas DC-3,3,1,0,1958,06,04
,"Curitiba, Brazil",Cruzeiro,Florianopolis - Curitiba,Convair CV-440-59,27,19,0,1958,06,16
,"Mohanbari, India",Indian Airlines,,Douglas C-47A,7,7,0,1958,06,25
,"Near Chicopee Falls, Massachusetts",Military - U.S. Air Force,Westover AFB - London,Boeing KC-135A,15,15,0,1958,06,27
,"Dhaka, Baangladesh",Indian Airlines,,Douglas C-47A,3,3,0,1958,07,09
,"Benghazi, Libya",Central African Airways,Wadi Halfa - Benina,Vickers Viscount 748D,54,36,0,1958,08,09
,"Sakiya Saugye, Japan",All Nippon Airways,Tokyo - Nagoya,Douglas DC-3,33,33,0,1958,08,12
,"Maraso Bay, Brazil",LANSA,,Douglas DC-4,10,10,0,1958,08,12
,"North AtlantiOcean, 100 miles W of Galway Bay, Ireland",KLM Royal Dutch Airlines,Amsterdam - Shannon - Gander - New York,Lockheed 1049H Super Constellation,99,99,0,1958,08,14
,"Nantucket, Massachusett",Northeast Airlines,New York City - Nantucket,Convair CV-240-2,34,24,0,1958,08,15
,"Near Chita, Russia",Aeroflot,,Tupolev TU-104-A,64,64,0,1958,08,15
,"Sasnashen, Russia",Military - U.S. Air Force,,Lockheed C-130A-II Hercules,17,17,0,1958,09,02
,"London, England",Independent Air Travel,,Vickers 621 Viking 1,3,3,4,1958,09,02
,Off Guam,Military - U.S. Air Force,Guam - Clark AB,Douglas C-124C Globemaster,19,19,0,1958,09,02
,"Campina Grande, Brazil",Loide Aereo Nacional,,Curtiss C-46A-CU,18,13,0,1958,09,05
,"Near Fairchild AFB, Washington DC",Military - U.S. Air Force / U.S. Air Force,,Boeing B-52 / Boeing B-52,16,13,0,1958,09,08
,"Mount Oyama, Japan",Flying Tiger Line,,Lockheed L-1049H Super Constellation,8,8,0,1958,09,09
,"Triel, France",Military - U.S. Air Force,,Lockheed C-130A Hercules,15,15,0,1958,09,15
,Over the Mediterranean Sea,Middle East Airlines,Beirut - Rome,Avro 685 York I,5,5,0,1958,09,29
,"Payette, Idaho",Military - U.S. Air Force,,Fairchild C-123 Provider,19,19,0,1958,10,09
