,Location,Operator,Route,Type,Aboard,Fatalities,Ground,Year,Month,Day
,"Talladega, Alabama",Private,Birmingham - Talladega,"Helicopter, Hughes 369HS",2,1,0,1993,07,12
,"Yinchuan, China",China Northwest Airlines,Yinchuan - Beijing,British Aerospace 146-300,113,55,0,1993,07,23
,"Haenam, South Korea",Asiana Airlines,Seoul - Mokpo,Boeing B-737-5L9,110,68,0,1993,07,26
,"Serawak, Malaysia",Hornbill Airways,Ba Kelalan - Marudi,Shorts SC-7 Skyvan 3-100,17,1,0,1993,07,30
,"Devghat, Nepal",Everest Air,Kathmandu - Bharatpur,Dornier Do-228-101,19,19,0,1993,07,31
,"Augusta, Georgia",Air Taxi - Air Medical Leasing,,Beechcraft C-90,4,4,0,1993,08,07
,"Leeward Point Airfield, Guantanamo Bay, Cuba",American International Airways,"Norfolk, VA - Guantanamo, Cuba",McDonnell Douglas DC-8-61,3,0,0,1993,08,18
,"Near Aldan, Russia",Sakha Airlines,,Let 410UVP-E,24,24,0,1993,08,26
,"Khorag, Tajikistan",Tajikistan Airlines,Khorag - Dushanbe,Yakovlev YAK-40,86,82,0,1993,08,28
,"Warsaw, Poland",Lufthansa,Frankfurt - Warszawa,Airbus A320-211,70,2,0,1993,09,14
,"Sukhumi, Georgia",Transair Georgia Airlines,Sochi - Sukhumi,Tupolev TU-134A,27,27,0,1993,09,21
,"Sukhumi, Georgia",Transair Georgia Airlines,Tbilisi - Sukhumi,Tupolev TU-154B,132,106,0,1993,09,22
,"Sukhumi,  Georgia",Transair Georgia Airlines,Sukhumi - Tbilisi,Tupolev 134A,30,1,0,1993,09,23
,"Near Svanetia, Georgia",Military - Georgian Air Force,,Mil Mi-8 (helicopter),60,60,0,1993,10,04
,"Franz Josef Glacier, New Zealand",Hibiscus Air,Glentanner - Queenstown,GAF Nomad N-22,9,9,0,1993,10,25
,"Fuzhou, China",China Eastern Airlines,Shenzen - Fuzhou,McDonnell Douglas MD-82,80,2,0,1993,10,26
,"Near Namsos, Norway",Wideroe's Flyveselksap,Trondheim - Namsos,de Havilland Canada DHC-6 Twin Otter 300,20,7,0,1993,10,27
,"Greensburg, Indiana",Roadrunner Airlines,"Pontiac, MI - Greensburg, IN",Cessna 421B Golden Eagle,5,5,0,1993,11,06
,"Sandy Lake, Canada",Air Manitoba,Winnipeg - Sandy Lake,Hawker Siddeley HS-748-234 Srs. 2A,7,7,0,1993,11,10
,"Urumqi, China",China Northern Airlines,Beijing - Urumqi,McDonnell Douglas MD-82,102,12,0,1993,11,13
,"Near Kerman, Iran",Magistralnye Avialinii,Dubai - Kerman,Antonov AN-124,17,17,0,1993,11,15
,"Near Ohrid, Macedonia",Aviaimpex (Macedonia),Genève - Skopje,Yakovlev YAK-42D,116,116,0,1993,11,20
,"Near Palencia, Guatemala",Aerovias de Guatemala SA,Santa Elena - Guatemala City,Beech Queen Air Model 80,13,13,0,1993,11,21
,"Hibbing, Minnesota",Express Airlines - Northwest Airlink,Minneapolis/St. Paul - Hibbing,British Aerospace Jetstream BA-3100,18,18,0,1993,12,01
,"Tuktoyaktuk, NWT, Canada",ArctiWings & Rotors,Tuktoyaktuk - Inuvik,Britten Norman BN-2A Trislander7,7,7,0,1993,12,03
,"Off Dakar, Senegal",Air Senegal / Gambia Airways,,DHC-6 Twin Otter 300 / NAMC YS-11,3,3,0,1993,12,09
,"Phonesavanh, Laos",Lao Aviation,Vientiane - Phonesavahn,Yunshuji Y-12-II,18,18,0,1993,12,13
,"Near Naga, Philippines",Military - Philippine Air Force,Manila - Naga,Lockheed C-130H,29,29,0,1993,12,15
,"Santa Ana, California",Air Taxi - Martin Aviation LP,"Fresno, CA - Santa Ana, CA",Israel Aircraft Industries 1124A,5,5,0,1993,12,15
,"Gyumri, Armenia",Kuban Airlines,Krasnadar - Gyumri,Antonov AN-26,36,36,0,1993,12,26
,"Near Irrupts, Siberia, Russia",Baikal Air,Irkutsk - Moscow,Tupolev TU-154M,124,124,1,1994,01,03
,"Off Lord Howe Island, NWSW, Australia",Seaview Aviation,Newcastle - Lord Howe Island,Rockwell Turbo Commander 690B,9,9,0,1994,10,02
,"Okeechobee, Florida",Kimura International,Kissimmee - Opa,Beechcraft King Air B90,10,10,0,1994,01,05
,"Columbus, Ohio",AtlantiCoast Airlines (United Express),"Washington D.C. - Columbus, OH",British Aerospace Jetstream 4101,8,5,0,1994,01,07
,"Kinshasa, DemocratiRepubliCongo",Scibe Airlift Cargo Zaire,Cotonou - Kinshasa,Learjet 24D,2,2,0,1994,01,18
,"Nalchik, Russia",North Western Air Transport,Volgograd - Nalchik,Antonov AN-12V,13,13,0,1994,02,24
,"Near Carpish, Peru",Expresso Aéreo,Jananjui - Tocache - Tingo Maria - Lima,Yakovlev YAK-40,31,31,0,1994,02,25
,"East Midlands, England",British World Airways,Edinburgh - Coventry,Vickers 813 Viscount,2,1,0,1994,02,25
,"New York, New York",Continental Airlines,New York City - Denver,McDonnell Douglas MD-82,116,0,0,1994,03,02
,"New Delhi, India",Sahara,Training,Boeing 737-2R4C,4,4,0,1994,03,08
,"Near Tamworth,  Australia",Jetcraft,,Swearingen SA.226AT Merlin IV,1,1,0,1994,03,09
,"Off Malindi, Kenya",Military - U.S. Air Force,,Lockheed C-130H Hercules,8,8,0,1994,03,14
,Near Nag,Military - Iranian Air Force,Tehran - Moscow,Lockheed Hercules C-130,32,32,0,1994,03,17
,"Spokane, Washington",Salair,Spokane - Portland,Douglas DC-3C,2,2,0,1994,03,18
,"Key West, Florida",Chalk's International Airlines,Key West Harbor - Key West,Grumman G-73T Turbo Mallard,2,2,0,1994,03,18
,"Weipa, Australia",Aurukun Air Services,,Britten-Norman BN-2A-21 Trislander,6,6,0,1994,03,21
,"Near Bogota, Colombia",Orion - Air Taxi,Manaus - Bogota,Cessna 650 Citation VI,4,4,0,1994,03,23
,"Near Campbeltown, Scotland",Military - Royal Air Force,Aldergrove AB - Fort George,Boeing Vertol Chinook HC-2 (helicopter),29,29,0,1994,06,02
,"Near Mezhdurechensk, Russia",Aeroflot Russian International Airways,Moscow - Hong Kong,Airbus A310-304,75,75,0,1994,03,23
,"Near Fayetteville, North Carolina",Military - U.S. Air Force / Military U.S. Air Force,,GD F-16D / Lockheed C-130E,7,0,23,1994,03,23
,"Lamoille, Nevada",Air Taxi - El Aero Services Inc.,,Bell 206B3,5,5,0,1994,04,03
,"Amsterdam, Netherlands",KLM Cityhopper,Amsterdam - Cardiff,Saab 340B,24,3,0,1994,04,04
,"Ambato, Ecuador",TAME,Taura - Latacunga,de Havilland Canada DHC-6 Twin Otter 300,17,17,0,1994,04,06
,"Kigali, Rwanda",Rwanda Government,"Tanzania - Kigali, Rwanda",Dassault Falcon 50,12,12,0,1994,04,06
,Northern Iraq,Military - U.S. Army / Military U.S. Army,,Sikorsky UH-60 / Sikorsky UH-60,26,26,0,1994,04,14
,"Nanga Pinoh, Indonesia",Dirgantara Air Services,Pontianak - Nanga Pinoh,Britten Norman BN-2A-21 Trislander,11,11,0,1994,04,25
,"Near Komaki, Aichi, Japan",China Airlines (Taiwan),Taipe - Nagoya,Airbus A300B4-622R,271,264,0,1994,04,26
,"Stratford, Connecticut",Action Airlines,"AtlantiCity, NJ - Stratford, CT",Piper PA-31-350 Navajo,9,8,0,1994,04,27
,"Near El Rosa, Colombia",Lineas Aereas de los Libertadores,Furatena - Quipama - Boyaca - Bogota,Cessna 208 Caravan I,9,8,0,1994,04,29
,"Sao Gabriel, Brazil",Rico Taxi Aero,Sao Paulo - Sao Gabriel,Embraer 110 Bandeirante,16,8,0,1994,05,07
,"Loma Linda, Colombia",Arall,San Jose - Villavicencio,Pilatus Britten-Norman BN-2B-27 Islander,11,4,0,1994,05,23
